,day,device_number,behavior,event,sex
6,-2,1,Exploring,16,m
7,-2,1,Seeking,66,m
8,-1,1,Exploring,6,m
9,-1,1,Seeking,22,m
10,0,1,Exploring,15,m
11,0,1,Seeking,75,m
12,1,1,Exploring,4,m
13,1,1,Seeking,93,m
14,2,1,Exploring,23,m
15,2,1,Seeking,98,m
16,3,1,Exploring,10,m
17,3,1,Seeking,98,m
18,4,1,Exploring,15,m
19,4,1,Seeking,71,m
20,5,1,Exploring,18,m
21,5,1,Seeking,69,m
22,6,1,Exploring,3,m
23,6,1,Seeking,111,m
24,7,1,Exploring,8,m
25,7,1,Seeking,119,m
26,8,1,Exploring,17,m
27,8,1,Seeking,111,m
28,9,1,Exploring,17,m
29,9,1,Seeking,82,m
30,10,1,Exploring,10,m
31,10,1,Seeking,61,m
32,11,1,Exploring,18,m
33,11,1,Seeking,42,m
34,12,1,Exploring,33,m
35,12,1,Seeking,56,m
36,-5,4,Exploring,15,f
37,-5,4,Seeking,7,f
38,-4,4,Exploring,2,f
39,-4,4,Seeking,39,f
40,-3,4,Exploring,7,f
41,-3,4,Seeking,63,f
42,-2,4,Exploring,6,f
43,-2,4,Seeking,35,f
44,-1,4,Exploring,8,f
45,-1,4,Seeking,26,f
46,0,4,Exploring,3,f
47,0,4,Seeking,88,f
48,1,4,Exploring,3,f
49,1,4,Seeking,75,f
50,2,4,Exploring,5,f
51,2,4,Seeking,81,f
52,3,4,Exploring,2,f
53,3,4,Seeking,83,f
54,4,4,Exploring,5,f
55,4,4,Seeking,113,f
56,5,4,Exploring,4,f
57,5,4,Seeking,60,f
58,6,4,Exploring,5,f
59,6,4,Seeking,93,f
60,7,4,Exploring,2,f
61,7,4,Seeking,87,f
62,8,4,Exploring,21,f
63,8,4,Seeking,84,f
64,9,4,Exploring,19,f
65,9,4,Seeking,75,f
66,10,4,Exploring,3,f
67,10,4,Seeking,17,f
68,11,4,Exploring,9,f
69,11,4,Seeking,44,f
70,12,4,Exploring,9,f
71,12,4,Seeking,49,f
72,-5,7,Exploring,9,f
73,-5,7,Seeking,15,f
74,-4,7,Exploring,5,f
75,-4,7,Seeking,25,f
76,-3,7,Exploring,8,f
77,-3,7,Seeking,29,f
78,-2,7,Exploring,3,f
79,-2,7,Seeking,18,f
80,-1,7,Exploring,8,f
81,-1,7,Seeking,26,f
82,0,7,Exploring,2,f
83,0,7,Seeking,65,f
84,1,7,Exploring,11,f
85,1,7,Seeking,78,f
86,2,7,Exploring,13,f
87,2,7,Seeking,64,f
88,3,7,Exploring,13,f
89,3,7,Seeking,77,f
90,4,7,Exploring,27,f
91,4,7,Seeking,73,f
92,5,7,Exploring,7,f
93,5,7,Seeking,57,f
94,6,7,Exploring,10,f
95,6,7,Seeking,69,f
96,7,7,Exploring,18,f
97,7,7,Seeking,51,f
98,8,7,Exploring,9,f
99,8,7,Seeking,65,f
100,9,7,Exploring,3,f
101,9,7,Seeking,45,f
102,10,7,Exploring,12,f
103,10,7,Seeking,60,f
104,11,7,Exploring,6,f
105,11,7,Seeking,38,f
106,12,7,Exploring,11,f
107,12,7,Seeking,29,f
108,-5,8,Exploring,1,f
109,-5,8,Seeking,0,f
110,-4,8,Exploring,12,f
111,-4,8,Seeking,4,f
112,-3,8,Exploring,6,f
113,-3,8,Seeking,15,f
114,-2,8,Exploring,9,f
115,-2,8,Seeking,32,f
116,-1,8,Exploring,7,f
117,-1,8,Seeking,25,f
118,0,8,Exploring,7,f
119,0,8,Seeking,121,f
120,1,8,Exploring,3,f
121,1,8,Seeking,92,f
128,5,8,Exploring,22,f
129,5,8,Seeking,111,f
130,6,8,Exploring,17,f
131,6,8,Seeking,152,f
132,7,8,Exploring,8,f
133,7,8,Seeking,83,f
134,8,8,Exploring,10,f
135,8,8,Seeking,92,f
136,9,8,Exploring,8,f
137,9,8,Seeking,69,f
138,10,8,Exploring,9,f
139,10,8,Seeking,67,f
140,11,8,Exploring,17,f
141,11,8,Seeking,89,f
142,12,8,Exploring,10,f
143,12,8,Seeking,53,f
144,-5,10,Exploring,34,m
145,-5,10,Seeking,0,m
146,-4,10,Exploring,10,m
147,-4,10,Seeking,2,m
148,-3,10,Exploring,4,m
149,-3,10,Seeking,11,m
150,-2,10,Exploring,6,m
151,-2,10,Seeking,27,m
152,-1,10,Exploring,4,m
153,-1,10,Seeking,22,m
154,0,10,Exploring,1,m
155,0,10,Seeking,64,m
156,1,10,Exploring,6,m
157,1,10,Seeking,116,m
158,2,10,Exploring,3,m
159,2,10,Seeking,60,m
160,3,10,Exploring,4,m
161,3,10,Seeking,60,m
162,4,10,Exploring,2,m
163,4,10,Seeking,51,m
164,5,10,Exploring,2,m
165,5,10,Seeking,76,m
170,8,10,Exploring,1,m
171,8,10,Seeking,77,m
172,9,10,Exploring,5,m
173,9,10,Seeking,87,m
174,10,10,Exploring,4,m
175,10,10,Seeking,43,m
176,11,10,Exploring,8,m
177,11,10,Seeking,29,m
178,12,10,Exploring,3,m
179,12,10,Seeking,24,m
180,-5,11,Exploring,0,m
181,-5,11,Seeking,7,m
182,-4,11,Exploring,5,m
183,-4,11,Seeking,33,m
184,-3,11,Exploring,7,m
185,-3,11,Seeking,49,m
186,-2,11,Exploring,4,m
187,-2,11,Seeking,34,m
188,-1,11,Exploring,7,m
189,-1,11,Seeking,34,m
190,0,11,Exploring,0,m
191,0,11,Seeking,133,m
192,1,11,Exploring,3,m
193,1,11,Seeking,129,m
194,2,11,Exploring,1,m
195,2,11,Seeking,72,m
196,3,11,Exploring,2,m
197,3,11,Seeking,57,m
198,4,11,Exploring,8,m
199,4,11,Seeking,49,m
200,5,11,Exploring,8,m
201,5,11,Seeking,59,m
202,6,11,Exploring,6,m
203,6,11,Seeking,73,m
204,7,11,Exploring,2,m
205,7,11,Seeking,63,m
206,8,11,Exploring,4,m
207,8,11,Seeking,57,m
208,9,11,Exploring,5,m
209,9,11,Seeking,80,m
210,10,11,Exploring,8,m
211,10,11,Seeking,38,m
212,11,11,Exploring,6,m
213,11,11,Seeking,30,m
214,12,11,Exploring,7,m
215,12,11,Seeking,27,m
216,-5,12,Exploring,5,m
217,-5,12,Seeking,16,m
218,-4,12,Exploring,5,m
219,-4,12,Seeking,17,m
220,-3,12,Exploring,20,m
221,-3,12,Seeking,44,m
222,-2,12,Exploring,16,m
223,-2,12,Seeking,22,m
224,-1,12,Exploring,13,m
225,-1,12,Seeking,32,m
226,0,12,Exploring,8,m
227,0,12,Seeking,116,m
228,1,12,Exploring,8,m
229,1,12,Seeking,98,m
230,2,12,Exploring,8,m
231,2,12,Seeking,59,m
232,3,12,Exploring,4,m
233,3,12,Seeking,64,m
234,4,12,Exploring,9,m
235,4,12,Seeking,81,m
236,5,12,Exploring,19,m
237,5,12,Seeking,82,m
238,6,12,Exploring,9,m
239,6,12,Seeking,65,m
240,7,12,Exploring,8,m
241,7,12,Seeking,51,m
242,8,12,Exploring,11,m
243,8,12,Seeking,56,m
244,9,12,Exploring,8,m
245,9,12,Seeking,53,m
246,10,12,Exploring,7,m
247,10,12,Seeking,28,m
248,11,12,Exploring,6,m
249,11,12,Seeking,25,m
250,12,12,Exploring,5,m
