,device_number,mode,behavior,event
0,1,empty,Exploring,11.0
1,1,empty,Seeking,44.0
2,1,extinction,Exploring,15.8
3,1,extinction,Seeking,49.4
4,1,social,Exploring,12.444444444444445
5,1,social,Seeking,93.22222222222223
6,4,empty,Exploring,7.6
7,4,empty,Seeking,34.0
8,4,extinction,Exploring,10.0
9,4,extinction,Seeking,37.8
10,4,social,Exploring,5.555555555555555
11,4,social,Seeking,84.44444444444444
12,7,empty,Exploring,6.6
13,7,empty,Seeking,22.6
14,7,extinction,Exploring,6.6
15,7,extinction,Seeking,43.0
16,7,social,Exploring,12.11111111111111
17,7,social,Seeking,66.55555555555556
18,8,empty,Exploring,7.0
19,8,empty,Seeking,19.0
20,8,extinction,Exploring,11.0
21,8,extinction,Seeking,69.5
22,8,social,Exploring,11.166666666666666
23,8,social,Seeking,108.5
24,10,empty,Exploring,11.6
25,10,empty,Seeking,15.5
26,10,extinction,Exploring,5.0
27,10,extinction,Seeking,44.5
28,10,social,Exploring,2.7142857142857144
29,10,social,Seeking,63.625
30,11,empty,Exploring,5.75
31,11,empty,Seeking,31.4
32,11,extinction,Exploring,6.5
33,11,extinction,Seeking,42.25
34,11,social,Exploring,4.25
35,11,social,Seeking,69.8
36,12,empty,Exploring,11.8
37,12,empty,Seeking,26.2
38,12,extinction,Exploring,6.0
39,12,extinction,Seeking,33.0
40,12,social,Exploring,8.6
41,12,social,Seeking,67.5
42,14,empty,Exploring,4.8
43,14,empty,Seeking,28.2
44,14,extinction,Exploring,22.5
45,14,extinction,Seeking,59.0
46,14,social,Exploring,10.2
47,14,social,Seeking,69.9
48,15,empty,Exploring,10.8
49,15,empty,Seeking,29.6
50,15,extinction,Exploring,4.75
51,15,extinction,Seeking,61.0
52,15,social,Exploring,3.4444444444444446
53,15,social,Seeking,77.1
54,16,empty,Exploring,13.6
55,16,empty,Seeking,43.4
56,16,extinction,Exploring,10.5
57,16,extinction,Seeking,67.5
58,16,social,Exploring,8.222222222222221
59,16,social,Seeking,96.1
