Mouse,Measurement,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
00,Feeding,5.0,7.0,3.8333333333333335,4.5,4.285714285714286,6.5,5.714285714285714,5.75,8.0,10.125,10.625,14.5,10.75,10.625,12.0,9.625,10.125,8.857142857142858,8.625,8.125,6.375,7.125,7.142857142857143,6.25
00,Seeking,2.0,1.6666666666666667,1.0,2.0,1.0,1.0,0.0,0.0,1.5,1.0,1.6,1.0,3.0,3.8,4.2,3.0,3.1666666666666665,3.8,3.5,2.5,2.0,3.0,2.3333333333333335,2.3333333333333335
01,Feeding,7.111111111111111,5.0,5.222222222222222,5.5,4.857142857142857,6.0,7.333333333333333,5.555555555555555,7.333333333333333,8.75,10.0,11.625,10.625,14.5,12.5,11.0,12.25,8.375,13.125,13.375,12.125,9.75,4.0,8.125
01,Seeking,3.0,3.5,3.3333333333333335,2.3333333333333335,1.75,1.6666666666666667,1.25,2.5,5.0,6.2,3.75,3.6666666666666665,5.666666666666667,7.75,6.75,5.428571428571429,7.0,6.0,10.125,9.875,9.5,5.25,3.8333333333333335,3.1666666666666665
03,Feeding,5.666666666666667,5.5,4.5,6.666666666666667,4.0,6.833333333333333,6.333333333333333,5.333333333333333,5.125,9.714285714285714,14.285714285714286,14.142857142857142,12.5,13.0,9.625,7.75,10.375,7.0,8.375,5.75,4.625,7.875,6.875,6.666666666666667
03,Seeking,1.5,1.5,0.0,1.0,1.0,1.0,1.0,1.3333333333333333,2.25,2.5,1.0,3.0,5.0,4.2,1.8,2.2,3.3333333333333335,3.0,3.25,1.75,1.5,2.0,4.0,4.0
04,Feeding,5.857142857142857,4.5,6.375,4.8,3.25,7.142857142857143,5.8,7.571428571428571,8.142857142857142,6.8,7.0,9.571428571428571,11.571428571428571,14.125,9.375,11.428571428571429,12.5,11.125,9.571428571428571,11.142857142857142,10.125,9.5,10.714285714285714,6.6
04,Seeking,2.1666666666666665,3.0,3.2,3.3333333333333335,1.0,2.75,2.75,1.3333333333333333,2.5714285714285716,3.3333333333333335,2.0,1.8333333333333333,7.875,5.625,4.875,5.857142857142857,6.125,5.375,5.714285714285714,6.0,7.5,7.625,6.625,3.3333333333333335
05,Feeding,5.25,5.2,4.5,2.7142857142857144,4.285714285714286,3.0,6.857142857142857,4.333333333333333,4.428571428571429,5.857142857142857,6.285714285714286,8.142857142857142,13.285714285714286,13.857142857142858,14.571428571428571,15.857142857142858,13.285714285714286,12.571428571428571,6.142857142857143,7.6,8.714285714285714,6.0,6.428571428571429,7.166666666666667
05,Seeking,2.6666666666666665,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.5,1.5,2.0,2.25,8.4,4.428571428571429,6.142857142857143,7.428571428571429,9.6,7.666666666666667,3.5,5.0,6.4,3.6,3.1666666666666665,4.0
