FED,Mode,day,zthour,Binary_Pellets
FED003,empty,-5,0,10.0
FED003,empty,-5,1,2.0
FED003,empty,-5,2,5.0
FED003,empty,-5,3,7.0
FED003,empty,-5,5,11.0
FED003,empty,-5,6,7.0
FED003,empty,-5,8,3.0
FED003,empty,-5,9,13.0
FED003,empty,-5,10,5.0
FED003,empty,-5,11,6.0
FED003,empty,-5,12,10.0
FED003,empty,-5,13,12.0
FED003,empty,-5,14,13.0
FED003,empty,-5,15,13.0
FED003,empty,-5,16,13.0
FED003,empty,-5,17,11.0
FED003,empty,-5,18,8.0
FED003,empty,-5,19,8.0
FED003,empty,-5,20,6.0
FED003,empty,-5,21,10.0
FED003,empty,-5,22,11.0
FED003,empty,-5,23,8.0
FED003,empty,-4,0,16.0
FED003,empty,-4,1,8.0
FED003,empty,-4,2,3.0
FED003,empty,-4,3,9.0
FED003,empty,-4,4,1.0
FED003,empty,-4,5,6.0
FED003,empty,-4,6,9.0
FED003,empty,-4,7,6.0
FED003,empty,-4,8,8.0
FED003,empty,-4,9,1.0
FED003,empty,-4,10,9.0
FED003,empty,-4,11,4.0
FED003,empty,-4,12,12.0
FED003,empty,-4,13,15.0
FED003,empty,-4,14,9.0
FED003,empty,-4,15,19.0
FED003,empty,-4,16,10.0
FED003,empty,-4,17,13.0
FED003,empty,-4,18,7.0
FED003,empty,-4,19,10.0
FED003,empty,-4,20,12.0
FED003,empty,-4,21,1.0
FED003,empty,-4,22,10.0
FED003,empty,-4,23,4.0
FED003,empty,-3,0,8.0
FED003,empty,-3,1,3.0
FED003,empty,-3,2,17.0
FED003,empty,-3,3,4.0
FED003,empty,-3,4,8.0
FED003,empty,-3,5,1.0
FED003,empty,-3,6,7.0
FED003,empty,-3,7,6.0
FED003,empty,-3,8,1.0
FED003,empty,-3,9,9.0
FED003,empty,-3,10,5.0
FED003,empty,-3,11,10.0
FED003,empty,-3,12,9.0
FED003,empty,-3,13,12.0
FED003,empty,-3,14,13.0
FED003,empty,-3,15,6.0
FED003,empty,-3,16,15.0
FED003,empty,-3,17,2.0
FED003,empty,-3,18,9.0
FED003,empty,-3,19,9.0
FED003,empty,-3,20,5.0
FED003,empty,-3,21,9.0
FED003,empty,-3,22,3.0
FED003,empty,-3,23,3.0
FED003,empty,-2,0,6.0
FED003,empty,-2,1,1.0
FED003,empty,-2,3,4.0
FED003,empty,-2,4,10.0
FED003,empty,-2,6,11.0
FED003,empty,-2,7,7.0
FED003,empty,-2,8,6.0
FED003,empty,-2,9,7.0
FED003,empty,-2,10,7.0
FED003,empty,-2,11,8.0
FED003,empty,-2,12,7.0
FED003,empty,-2,13,10.0
FED003,empty,-2,14,6.0
FED003,empty,-2,15,5.0
FED003,empty,-2,16,6.0
FED003,empty,-2,17,11.0
