zthour,device_number,day,treatment,sex,pellets,dosage
0,0,1,saline,m,14,0.3 mg/kg
1,0,1,saline,m,11,0.3 mg/kg
2,0,1,saline,m,36,0.3 mg/kg
3,0,1,saline,m,38,0.3 mg/kg
4,0,1,saline,m,21,0.3 mg/kg
5,0,1,saline,m,23,0.3 mg/kg
6,0,1,saline,m,25,0.3 mg/kg
7,0,1,saline,m,17,0.3 mg/kg
8,0,1,saline,m,12,0.3 mg/kg
9,0,1,saline,m,38,0.3 mg/kg
10,0,1,saline,m,10,0.3 mg/kg
11,0,1,saline,m,27,0.3 mg/kg
12,0,1,saline,m,45,0.3 mg/kg
13,0,1,saline,m,36,0.3 mg/kg
14,0,1,saline,m,5,0.3 mg/kg
15,0,1,saline,m,0,0.3 mg/kg
16,0,1,saline,m,0,0.3 mg/kg
17,0,1,saline,m,6,0.3 mg/kg
18,0,1,saline,m,5,0.3 mg/kg
19,0,1,saline,m,0,0.3 mg/kg
20,0,1,saline,m,10,0.3 mg/kg
21,0,1,saline,m,3,0.3 mg/kg
22,0,1,saline,m,11,0.3 mg/kg
23,0,1,saline,m,2,0.3 mg/kg
0,0,3,SCH23390,m,18,0.3 mg/kg
1,0,3,SCH23390,m,7,0.3 mg/kg
2,0,3,SCH23390,m,59,0.3 mg/kg
3,0,3,SCH23390,m,24,0.3 mg/kg
4,0,3,SCH23390,m,12,0.3 mg/kg
5,0,3,SCH23390,m,42,0.3 mg/kg
6,0,3,SCH23390,m,21,0.3 mg/kg
7,0,3,SCH23390,m,40,0.3 mg/kg
8,0,3,SCH23390,m,29,0.3 mg/kg
9,0,3,SCH23390,m,23,0.3 mg/kg
10,0,3,SCH23390,m,33,0.3 mg/kg
11,0,3,SCH23390,m,18,0.3 mg/kg
12,0,3,SCH23390,m,34,0.3 mg/kg
13,0,3,SCH23390,m,37,0.3 mg/kg
14,0,3,SCH23390,m,2,0.3 mg/kg
15,0,3,SCH23390,m,16,0.3 mg/kg
16,0,3,SCH23390,m,15,0.3 mg/kg
17,0,3,SCH23390,m,0,0.3 mg/kg
18,0,3,SCH23390,m,8,0.3 mg/kg
19,0,3,SCH23390,m,12,0.3 mg/kg
20,0,3,SCH23390,m,7,0.3 mg/kg
21,0,3,SCH23390,m,5,0.3 mg/kg
22,0,3,SCH23390,m,7,0.3 mg/kg
23,0,3,SCH23390,m,10,0.3 mg/kg
0,0,5,haloperidol,m,13,0.3 mg/kg
1,0,5,haloperidol,m,9,0.3 mg/kg
2,0,5,haloperidol,m,17,0.3 mg/kg
3,0,5,haloperidol,m,28,0.3 mg/kg
4,0,5,haloperidol,m,26,0.3 mg/kg
5,0,5,haloperidol,m,25,0.3 mg/kg
6,0,5,haloperidol,m,16,0.3 mg/kg
7,0,5,haloperidol,m,12,0.3 mg/kg
8,0,5,haloperidol,m,29,0.3 mg/kg
9,0,5,haloperidol,m,14,0.3 mg/kg
10,0,5,haloperidol,m,31,0.3 mg/kg
