zthour,device_number,day,treatment,sex,activity,dosage
0,0,1,saline,m,25.0,0.3 mg/kg
1,0,1,saline,m,22.8,0.3 mg/kg
2,0,1,saline,m,60.6,0.3 mg/kg
3,0,1,saline,m,60.5,0.3 mg/kg
4,0,1,saline,m,19.5,0.3 mg/kg
5,0,1,saline,m,27.9,0.3 mg/kg
6,0,1,saline,m,28.9,0.3 mg/kg
7,0,1,saline,m,24.1,0.3 mg/kg
8,0,1,saline,m,35.4,0.3 mg/kg
9,0,1,saline,m,48.4,0.3 mg/kg
10,0,1,saline,m,16.6,0.3 mg/kg
11,0,1,saline,m,43.7,0.3 mg/kg
12,0,1,saline,m,52.7,0.3 mg/kg
13,0,1,saline,m,50.6,0.3 mg/kg
14,0,1,saline,m,60.6,0.3 mg/kg
15,0,1,saline,m,8.01,0.3 mg/kg
16,0,1,saline,m,14.2,0.3 mg/kg
17,0,1,saline,m,9.74,0.3 mg/kg
18,0,1,saline,m,25.7,0.3 mg/kg
19,0,1,saline,m,5.68,0.3 mg/kg
20,0,1,saline,m,35.5,0.3 mg/kg
21,0,1,saline,m,24.3,0.3 mg/kg
22,0,1,saline,m,8.29,0.3 mg/kg
23,0,1,saline,m,24.5,0.3 mg/kg
0,0,3,SCH23390,m,9.68,0.3 mg/kg
1,0,3,SCH23390,m,7.97,0.3 mg/kg
2,0,3,SCH23390,m,51.4,0.3 mg/kg
3,0,3,SCH23390,m,32.3,0.3 mg/kg
4,0,3,SCH23390,m,32.8,0.3 mg/kg
5,0,3,SCH23390,m,29.0,0.3 mg/kg
6,0,3,SCH23390,m,43.5,0.3 mg/kg
7,0,3,SCH23390,m,50.0,0.3 mg/kg
8,0,3,SCH23390,m,43.3,0.3 mg/kg
9,0,3,SCH23390,m,14.9,0.3 mg/kg
10,0,3,SCH23390,m,52.0,0.3 mg/kg
11,0,3,SCH23390,m,48.7,0.3 mg/kg
12,0,3,SCH23390,m,46.5,0.3 mg/kg
13,0,3,SCH23390,m,55.2,0.3 mg/kg
14,0,3,SCH23390,m,20.9,0.3 mg/kg
15,0,3,SCH23390,m,15.0,0.3 mg/kg
16,0,3,SCH23390,m,28.9,0.3 mg/kg
17,0,3,SCH23390,m,5.47,0.3 mg/kg
18,0,3,SCH23390,m,15.2,0.3 mg/kg
19,0,3,SCH23390,m,15.4,0.3 mg/kg
20,0,3,SCH23390,m,4.12,0.3 mg/kg
21,0,3,SCH23390,m,30.0,0.3 mg/kg
22,0,3,SCH23390,m,5.18,0.3 mg/kg
23,0,3,SCH23390,m,12.5,0.3 mg/kg
0,0,5,haloperidol,m,18.9,0.3 mg/kg
1,0,5,haloperidol,m,5.12,0.3 mg/kg
2,0,5,haloperidol,m,44.4,0.3 mg/kg
3,0,5,haloperidol,m,25.9,0.3 mg/kg
4,0,5,haloperidol,m,24.9,0.3 mg/kg
5,0,5,haloperidol,m,30.2,0.3 mg/kg
6,0,5,haloperidol,m,17.8,0.3 mg/kg
7,0,5,haloperidol,m,19.1,0.3 mg/kg
8,0,5,haloperidol,m,34.5,0.3 mg/kg
9,0,5,haloperidol,m,8.55,0.3 mg/kg
10,0,5,haloperidol,m,53.5,0.3 mg/kg
11,0,5,haloperidol,m,11.2,0.3 mg/kg
12,0,5,haloperidol,m,44.9,0.3 mg/kg
13,0,5,haloperidol,m,63.6,0.3 mg/kg
14,0,5,haloperidol,m,33.5,0.3 mg/kg
15,0,5,haloperidol,m,6.24,0.3 mg/kg
16,0,5,haloperidol,m,6.57,0.3 mg/kg
17,0,5,haloperidol,m,52.3,0.3 mg/kg
18,0,5,haloperidol,m,11.3,0.3 mg/kg
19,0,5,haloperidol,m,23.4,0.3 mg/kg
20,0,5,haloperidol,m,8.14,0.3 mg/kg
21,0,5,haloperidol,m,44.0,0.3 mg/kg
22,0,5,haloperidol,m,7.16,0.3 mg/kg
23,0,5,haloperidol,m,17.3,0.3 mg/kg
0,2,1,haloperidol,m,5.99,0.3 mg/kg
1,2,1,haloperidol,m,1.47,0.3 mg/kg
2,2,1,haloperidol,m,42.6,0.3 mg/kg
3,2,1,haloperidol,m,5.91,0.3 mg/kg
4,2,1,haloperidol,m,11.0,0.3 mg/kg
5,2,1,haloperidol,m,33.8,0.3 mg/kg
6,2,1,haloperidol,m,2.6,0.3 mg/kg
7,2,1,haloperidol,m,19.9,0.3 mg/kg
8,2,1,haloperidol,m,27.2,0.3 mg/kg
9,2,1,haloperidol,m,1.45,0.3 mg/kg
10,2,1,haloperidol,m,0.0244,0.3 mg/kg
11,2,1,haloperidol,m,11.7,0.3 mg/kg
12,2,1,haloperidol,m,28.1,0.3 mg/kg
13,2,1,haloperidol,m,10.0,0.3 mg/kg
14,2,1,haloperidol,m,1.2,0.3 mg/kg
15,2,1,haloperidol,m,1.77,0.3 mg/kg
16,2,1,haloperidol,m,28.2,0.3 mg/kg
17,2,1,haloperidol,m,1.91,0.3 mg/kg
18,2,1,haloperidol,m,0.927,0.3 mg/kg
19,2,1,haloperidol,m,6.15,0.3 mg/kg
20,2,1,haloperidol,m,0.0244,0.3 mg/kg
21,2,1,haloperidol,m,7.17,0.3 mg/kg
22,2,1,haloperidol,m,0.0244,0.3 mg/kg
23,2,1,haloperidol,m,0.811,0.3 mg/kg
0,2,3,saline,m,4.59,0.3 mg/kg
1,2,3,saline,m,0.92,0.3 mg/kg
2,2,3,saline,m,26.7,0.3 mg/kg
3,2,3,saline,m,24.4,0.3 mg/kg
4,2,3,saline,m,38.0,0.3 mg/kg
5,2,3,saline,m,14.9,0.3 mg/kg
6,2,3,saline,m,18.6,0.3 mg/kg
7,2,3,saline,m,19.8,0.3 mg/kg
8,2,3,saline,m,32.8,0.3 mg/kg
9,2,3,saline,m,0.48,0.3 mg/kg
10,2,3,saline,m,18.5,0.3 mg/kg
11,2,3,saline,m,11.5,0.3 mg/kg
12,2,3,saline,m,26.1,0.3 mg/kg
13,2,3,saline,m,3.84,0.3 mg/kg
14,2,3,saline,m,2.07,0.3 mg/kg
15,2,3,saline,m,0.0244,0.3 mg/kg
16,2,3,saline,m,14.3,0.3 mg/kg
17,2,3,saline,m,0.0244,0.3 mg/kg
18,2,3,saline,m,1.1,0.3 mg/kg
19,2,3,saline,m,0.0244,0.3 mg/kg
20,2,3,saline,m,0.0244,0.3 mg/kg
21,2,3,saline,m,12.7,0.3 mg/kg
22,2,3,saline,m,0.0244,0.3 mg/kg
23,2,3,saline,m,0.454,0.3 mg/kg
0,2,5,SCH23390,m,2.3,0.3 mg/kg
1,2,5,SCH23390,m,0.0244,0.3 mg/kg
2,2,5,SCH23390,m,28.0,0.3 mg/kg
3,2,5,SCH23390,m,11.7,0.3 mg/kg
4,2,5,SCH23390,m,23.1,0.3 mg/kg
