day,id,mean,day_label,mean_normalized
1.0,553,14.754999999999999,saline,100.0
1.0,E94,8.7225,saline,100.0
1.0,EA2,28.5475,saline,100.0
1.0,549,8.737499999999999,saline,100.0
1.0,E95,24.7975,saline,100.0
1.0,EB0,43.8,saline,100.0
1.0,E8D,21.880000000000003,saline,100.00000000000001
1.0,561,8.3986,saline,100.0
2.0,EA2,30.0725,0.2 mg/kg,105.34197390314388
2.0,E95,24.9375,0.2 mg/kg,100.56457304163726
2.0,E94,9.045,0.2 mg/kg,103.69733447979364
2.0,EB0,37.68,0.2 mg/kg,86.02739726027397
2.0,553,11.25775,0.2 mg/kg,76.29786513046425
2.0,E8D,12.88025,0.2 mg/kg,58.867687385740396
2.0,561,12.0211,0.2 mg/kg,143.13218869811638
2.0,549,17.3575,0.2 mg/kg,198.65522174535056
3.0,561,11.431675,0.3 mg/kg,136.11405472340627
3.0,EA2,14.315,0.3 mg/kg,50.14449601541291
3.0,553,7.54025,0.3 mg/kg,51.10301592680448
3.0,E8D,11.58675,0.3 mg/kg,52.95589579524679
3.0,E95,22.770000000000003,0.3 mg/kg,91.82377255771753
3.0,EB0,22.197499999999998,0.3 mg/kg,50.679223744292244
3.0,549,2.61025,0.3 mg/kg,29.874105865522182
3.0,E94,13.448,0.3 mg/kg,154.17598165663514
4.0,EB0,17.7005,0.4 mg/kg,40.41210045662101
4.0,E95,15.6675,0.4 mg/kg,63.18177235608428
4.0,553,3.0546249999999997,0.4 mg/kg,20.70230430362589
4.0,549,3.73825,0.4 mg/kg,42.78397711015737
4.0,EA2,3.0886,0.4 mg/kg,10.819161047377179
4.0,E94,4.9311,0.4 mg/kg,56.533104041272566
4.0,561,5.2856000000000005,0.4 mg/kg,62.934298573571795
4.0,E8D,4.64625,0.4 mg/kg,21.23514625228519
5.0,E94,5.7436,0.6 mg/kg,65.84809400974491
5.0,EB0,17.5445,0.6 mg/kg,40.05593607305936
5.0,E95,16.43,0.6 mg/kg,66.2566791007158
5.0,561,2.06,0.6 mg/kg,24.52789750672731
5.0,549,1.7510999999999999,0.6 mg/kg,20.041201716738197
5.0,553,3.0455,0.6 mg/kg,20.64046086072518
5.0,EA2,7.893599999999999,0.6 mg/kg,27.65075750941413
5.0,E8D,5.862500000000001,0.6 mg/kg,26.793875685557587
