Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2024-12-23 16:00:00,9.36,8.79,8.26,34.8,18.1,28.1,14.7,26.7,16.0,2024-12-23,1.0,0.0
2024-12-23 17:00:00,1.52,2.28,0.0244,24.4,7.49,7.29,6.17,15.3,17.0,2024-12-23,1.0,1.0
2024-12-23 18:00:00,11.8,15.7,9.69,40.6,41.5,24.8,8.6,4.62,18.0,2024-12-23,1.0,2.0
2024-12-23 19:00:00,21.8,7.85,15.9,56.9,34.2,46.1,12.3,37.1,19.0,2024-12-23,1.0,3.0
2024-12-23 20:00:00,23.9,9.12,7.98,53.3,16.0,36.0,7.82,30.5,20.0,2024-12-23,1.0,4.0
2024-12-23 21:00:00,2.35,1.98,37.0,50.1,49.2,26.8,37.6,45.5,21.0,2024-12-23,1.0,5.0
2024-12-23 22:00:00,27.5,34.1,51.2,59.2,55.4,46.7,19.6,17.1,22.0,2024-12-23,1.0,6.0
2024-12-23 23:00:00,34.9,28.7,28.2,48.0,27.9,22.3,26.5,21.4,23.0,2024-12-23,1.0,7.0
2024-12-24 00:00:00,5.86,4.1,2.49,55.1,17.7,37.3,33.7,49.6,0.0,2024-12-24,1.0,8.0
2024-12-24 01:00:00,12.9,3.76,24.7,59.3,29.0,32.3,14.1,43.2,1.0,2024-12-24,1.0,9.0
2024-12-24 02:00:00,20.8,6.06,14.9,54.9,25.9,11.8,1.49,41.5,2.0,2024-12-24,1.0,10.0
2024-12-24 03:00:00,33.0,26.8,28.7,54.5,29.9,9.32,26.5,42.7,3.0,2024-12-24,1.0,11.0
2024-12-24 04:00:00,15.9,24.1,38.5,51.5,35.3,38.8,23.5,49.6,4.0,2024-12-24,1.0,12.0
2024-12-24 05:00:00,38.1,30.5,43.0,65.2,29.7,44.8,33.4,50.8,5.0,2024-12-24,1.0,13.0
2024-12-24 06:00:00,17.4,29.8,6.76,60.9,36.5,52.0,27.6,21.6,6.0,2024-12-24,1.0,14.0
2024-12-24 07:00:00,0.0687,3.76,0.0393,8.42,7.87,28.9,10.2,11.1,7.0,2024-12-24,1.0,15.0
2024-12-24 08:00:00,0.459,2.2,2.09,23.4,9.75,12.6,3.05,14.2,8.0,2024-12-24,1.0,16.0
2024-12-24 09:00:00,0.213,0.958,0.0244,5.2,17.1,7.62,0.0244,2.98,9.0,2024-12-24,1.0,17.0
2024-12-24 10:00:00,0.446,0.0284,8.0,6.74,2.96,16.7,2.7,7.72,10.0,2024-12-24,1.0,18.0
2024-12-24 11:00:00,6.08,4.66,1.57,46.6,15.8,22.7,26.4,5.26,11.0,2024-12-24,1.0,19.0
2024-12-24 12:00:00,2.57,0.0287,0.0244,10.3,7.11,3.77,1.16,4.81,12.0,2024-12-24,1.0,20.0
2024-12-24 13:00:00,0.0244,2.0,1.23,5.36,27.6,23.2,0.0244,6.06,13.0,2024-12-24,1.0,21.0
2024-12-24 14:00:00,0.0293,2.59,5.77,29.1,5.95,4.83,0.0244,15.1,14.0,2024-12-24,1.0,22.0
2024-12-24 15:00:00,2.11,3.55,0.0244,27.4,13.4,22.1,9.33,0.975,15.0,2024-12-24,1.0,23.0
2024-12-24 16:00:00,3.42,4.65,4.57,25.1,15.1,12.8,8.81,17.3,16.0,2024-12-24,2.0,0.0
2024-12-24 17:00:00,0.431,4.73,0.0244,3.22,5.95,4.39,0.11,0.121,17.0,2024-12-24,2.0,1.0
2024-12-24 18:00:00,10.1,26.5,13.5,35.8,33.2,32.7,4.27,14.1,18.0,2024-12-24,2.0,2.0
2024-12-24 19:00:00,13.7,14.6,9.96,58.0,33.2,40.1,7.5,26.2,19.0,2024-12-24,2.0,3.0
2024-12-24 20:00:00,20.8,23.6,24.6,53.7,27.4,43.1,24.3,11.1,20.0,2024-12-24,2.0,4.0
2024-12-24 21:00:00,3.75,21.7,8.63,54.3,35.5,27.3,10.4,20.6,21.0,2024-12-24,2.0,5.0
2024-12-24 22:00:00,28.4,5.17,21.0,56.4,20.9,28.2,20.4,31.1,22.0,2024-12-24,2.0,6.0
2024-12-24 23:00:00,9.03,30.3,35.8,58.6,29.7,23.1,24.0,10.5,23.0,2024-12-24,2.0,7.0
2024-12-25 00:00:00,24.3,4.09,1.61,56.9,23.8,12.7,31.4,5.13,0.0,2024-12-25,2.0,8.0
2024-12-25 01:00:00,24.5,1.35,17.5,9.3,40.2,11.6,15.3,25.6,1.0,2024-12-25,2.0,9.0
2024-12-25 02:00:00,26.9,1.32,13.3,10.2,7.74,28.5,1.54,6.61,2.0,2024-12-25,2.0,10.0
2024-12-25 03:00:00,30.9,26.2,21.2,48.3,9.23,17.9,0.0244,19.0,3.0,2024-12-25,2.0,11.0
2024-12-25 04:00:00,33.1,29.8,37.2,50.6,26.7,16.8,14.4,38.2,4.0,2024-12-25,2.0,12.0
2024-12-25 05:00:00,39.3,41.5,6.74,55.0,32.6,41.8,18.8,40.6,5.0,2024-12-25,2.0,13.0
2024-12-25 06:00:00,19.3,20.0,6.49,27.1,12.8,38.0,26.5,47.2,6.0,2024-12-25,2.0,14.0
2024-12-25 07:00:00,1.28,0.82,0.0244,35.6,4.64,17.7,26.2,20.3,7.0,2024-12-25,2.0,15.0
2024-12-25 08:00:00,0.0244,0.213,0.902,2.89,46.8,0.971,30.4,3.04,8.0,2024-12-25,2.0,16.0
2024-12-25 09:00:00,0.254,0.428,0.0244,13.2,10.4,1.91,0.518,2.05,9.0,2024-12-25,2.0,17.0
2024-12-25 10:00:00,2.95,4.67,2.23,6.04,2.35,10.2,0.442,3.63,10.0,2024-12-25,2.0,18.0
2024-12-25 11:00:00,2.07,0.531,1.11,44.1,8.91,3.07,0.394,4.55,11.0,2024-12-25,2.0,19.0
2024-12-25 12:00:00,0.0859,3.0,9.7,1.58,22.9,0.451,0.0244,8.11,12.0,2024-12-25,2.0,20.0
2024-12-25 13:00:00,0.0244,0.231,0.0244,1.03,4.22,6.25,6.63,8.79,13.0,2024-12-25,2.0,21.0
2024-12-25 14:00:00,5.52,2.95,12.6,26.4,12.6,22.8,0.154,0.0857,14.0,2024-12-25,2.0,22.0
2024-12-25 15:00:00,0.0244,0.902,0.0244,5.01,11.8,1.15,0.131,4.3,15.0,2024-12-25,2.0,23.0
2024-12-25 16:00:00,5.18,3.37,3.1,19.9,8.28,15.3,12.2,3.93,16.0,2024-12-25,3.0,0.0
2024-12-25 17:00:00,0.691,1.48,0.0267,1.89,8.38,1.76,0.122,0.137,17.0,2024-12-25,3.0,1.0
2024-12-25 18:00:00,8.96,4.41,11.8,30.8,32.2,11.9,6.27,8.91,18.0,2024-12-25,3.0,2.0
2024-12-25 19:00:00,11.4,0.761,23.5,33.2,38.7,9.3,27.6,12.0,19.0,2024-12-25,3.0,3.0
2024-12-25 20:00:00,9.11,3.79,10.4,22.9,11.8,34.3,19.8,25.3,20.0,2024-12-25,3.0,4.0
2024-12-25 21:00:00,25.7,0.509,48.4,41.5,27.0,29.8,27.7,4.38,21.0,2024-12-25,3.0,5.0
2024-12-25 22:00:00,20.4,0.136,6.57,39.4,35.0,36.8,1.77,37.4,22.0,2024-12-25,3.0,6.0
2024-12-25 23:00:00,2.08,12.2,14.7,37.0,31.2,34.9,30.6,16.9,23.0,2024-12-25,3.0,7.0
2024-12-26 00:00:00,8.83,0.0933,9.9,27.5,29.6,2.01,22.8,1.94,0.0,2024-12-26,3.0,8.0
2024-12-26 01:00:00,10.9,1.17,33.9,0.154,11.6,6.94,10.0,6.63,1.0,2024-12-26,3.0,9.0
2024-12-26 02:00:00,22.0,0.794,0.0244,1.41,30.2,16.3,18.2,13.4,2.0,2024-12-26,3.0,10.0
2024-12-26 03:00:00,15.8,2.84,29.9,25.6,31.1,1.72,0.0244,10.1,3.0,2024-12-26,3.0,11.0
2024-12-26 04:00:00,27.0,13.5,41.6,40.5,20.5,38.1,7.67,20.1,4.0,2024-12-26,3.0,12.0
2024-12-26 05:00:00,33.0,30.6,23.3,50.9,39.2,46.6,29.3,37.9,5.0,2024-12-26,3.0,13.0
2024-12-26 06:00:00,25.0,38.4,0.228,26.8,29.9,20.9,23.8,27.1,6.0,2024-12-26,3.0,14.0
2024-12-26 07:00:00,0.936,1.74,2.91,5.03,8.8,3.12,28.2,23.8,7.0,2024-12-26,3.0,15.0
2024-12-26 08:00:00,26.5,5.47,9.02,41.4,18.6,20.1,34.0,29.3,8.0,2024-12-26,3.0,16.0
2024-12-26 09:00:00,1.61,1.05,1.1,1.63,7.03,0.0866,0.0244,6.26,9.0,2024-12-26,3.0,17.0
2024-12-26 10:00:00,0.0244,0.823,1.96,2.7,18.1,0.28,0.0244,2.77,10.0,2024-12-26,3.0,18.0
2024-12-26 11:00:00,0.0244,6.46,1.72,1.53,2.18,5.97,0.142,8.02,11.0,2024-12-26,3.0,19.0
2024-12-26 12:00:00,0.0244,0.0244,3.25,25.8,13.6,0.0244,3.26,1.85,12.0,2024-12-26,3.0,20.0
2024-12-26 13:00:00,5.11,1.61,0.0244,6.27,6.63,3.35,6.61,8.78,13.0,2024-12-26,3.0,21.0
2024-12-26 14:00:00,0.0244,0.512,3.05,0.915,3.81,0.0244,0.0244,0.0313,14.0,2024-12-26,3.0,22.0
2024-12-26 15:00:00,0.356,0.0815,0.0244,5.81,27.7,0.0244,3.86,12.8,15.0,2024-12-26,3.0,23.0
2024-12-26 16:00:00,5.81,4.3,6.07,7.61,5.3,8.84,4.19,10.3,16.0,2024-12-26,4.0,0.0
2024-12-26 17:00:00,0.0685,0.303,0.0244,0.602,3.07,0.0244,0.0244,0.245,17.0,2024-12-26,4.0,1.0
2024-12-26 18:00:00,3.76,4.13,0.878,16.5,26.3,2.57,6.34,4.21,18.0,2024-12-26,4.0,2.0
