Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-07 16:00:00,23.8,6.33,6.53,24.3,21.1,12.2,10.2,18.4,16,2025-01-07,3,0
2025-01-07 17:00:00,9.56,7.31,7.99,7.99,14.0,1.59,15.9,9.98,17,2025-01-07,3,1
2025-01-07 18:00:00,20.7,14.6,17.4,25.5,22.8,1.54,20.0,9.64,18,2025-01-07,3,2
2025-01-07 19:00:00,27.3,27.5,6.93,55.4,30.0,34.8,17.2,23.7,19,2025-01-07,3,3
2025-01-07 20:00:00,24.3,17.9,25.8,59.5,28.8,25.4,25.4,18.4,20,2025-01-07,3,4
2025-01-07 21:00:00,21.0,11.9,5.61,68.0,30.8,26.8,38.5,2.39,21,2025-01-07,3,5
2025-01-07 22:00:00,28.1,13.6,28.8,56.7,24.0,16.8,0.6,32.0,22,2025-01-07,3,6
2025-01-07 23:00:00,29.5,23.6,2.25,61.6,35.1,16.2,35.3,33.0,23,2025-01-07,3,7
2025-01-08 00:00:00,22.2,24.6,4.36,64.3,1.78,2.82,35.7,17.6,0,2025-01-08,3,8
2025-01-08 01:00:00,19.6,1.48,0.762,39.2,20.1,1.35,23.8,20.1,1,2025-01-08,3,9
2025-01-08 02:00:00,15.3,3.64,1.92,6.56,1.81,0.368,14.3,16.2,2,2025-01-08,3,10
2025-01-08 03:00:00,21.3,6.11,16.0,40.9,23.6,12.8,0.496,27.6,3,2025-01-08,3,11
2025-01-08 04:00:00,31.2,12.1,13.5,58.1,32.3,30.8,1.11,38.0,4,2025-01-08,3,12
2025-01-08 05:00:00,34.1,26.4,32.5,64.7,33.5,34.6,30.3,47.6,5,2025-01-08,3,13
2025-01-08 06:00:00,29.3,21.4,12.5,48.5,22.8,20.2,34.9,13.4,6,2025-01-08,3,14
2025-01-08 07:00:00,15.2,9.76,5.02,21.0,20.6,16.5,43.2,7.64,7,2025-01-08,3,15
2025-01-08 08:00:00,15.0,0.504,0.0332,13.4,1.78,0.0244,10.2,0.538,8,2025-01-08,3,16
2025-01-08 09:00:00,2.67,0.148,1.49,3.52,2.8,0.0244,1.02,1.49,9,2025-01-08,3,17
2025-01-08 10:00:00,3.02,5.94,1.57,18.0,2.54,6.73,0.2,3.11,10,2025-01-08,3,18
2025-01-08 11:00:00,1.53,0.0963,0.0244,43.7,4.64,0.0244,22.2,0.0244,11,2025-01-08,3,19
2025-01-08 12:00:00,14.1,0.942,0.0939,5.08,2.76,0.0244,0.74,0.0244,12,2025-01-08,3,20
2025-01-08 13:00:00,1.55,2.68,5.96,6.61,2.32,0.0244,0.0244,0.0442,13,2025-01-08,3,21
2025-01-08 14:00:00,22.9,2.96,0.0244,37.8,32.7,3.0,2.55,17.8,14,2025-01-08,3,22
2025-01-08 15:00:00,4.5,3.65,0.759,5.26,5.79,0.0244,0.0244,0.0244,15,2025-01-08,3,23
2025-01-08 16:00:00,14.9,7.29,11.2,35.6,24.7,25.4,20.1,21.4,16,2025-01-08,4,0
2025-01-08 17:00:00,3.99,2.65,0.0244,9.76,5.84,7.58,0.0687,5.97,17,2025-01-08,4,1
