day,zthour,day_label,id,mean
3,0,saline,553,23.8
3,1,saline,553,9.56
3,2,saline,553,20.7
3,3,saline,553,27.3
3,4,saline,553,24.3
3,5,saline,553,21.0
3,6,saline,553,28.1
3,7,saline,553,29.5
3,8,saline,553,22.2
3,9,saline,553,19.6
3,10,saline,553,15.3
3,11,saline,553,21.3
3,12,saline,553,31.2
3,13,saline,553,34.1
3,14,saline,553,29.3
3,15,saline,553,15.2
3,16,saline,553,15.0
3,17,saline,553,2.67
3,18,saline,553,3.02
3,19,saline,553,1.53
3,20,saline,553,14.1
3,21,saline,553,1.55
3,22,saline,553,22.9
3,23,saline,553,4.5
9,0,0.4 mg/kg,553,6.17
9,1,0.4 mg/kg,553,1.04
9,2,0.4 mg/kg,553,10.6
9,3,0.4 mg/kg,553,5.62
9,4,0.4 mg/kg,553,9.46
9,5,0.4 mg/kg,553,8.48
9,6,0.4 mg/kg,553,2.86
9,7,0.4 mg/kg,553,10.5
9,8,0.4 mg/kg,553,3.68
9,9,0.4 mg/kg,553,0.907
9,10,0.4 mg/kg,553,9.67
9,11,0.4 mg/kg,553,4.26
9,12,0.4 mg/kg,553,1.41
9,13,0.4 mg/kg,553,24.3
9,14,0.4 mg/kg,553,14.4
9,15,0.4 mg/kg,553,0.781
9,16,0.4 mg/kg,553,7.0
9,17,0.4 mg/kg,553,0.174
9,18,0.4 mg/kg,553,0.0244
9,19,0.4 mg/kg,553,5.8
9,20,0.4 mg/kg,553,0.0244
9,21,0.4 mg/kg,553,0.492
9,22,0.4 mg/kg,553,14.0
9,23,0.4 mg/kg,553,0.33
11,0,0.2 mg/kg,553,16.9
11,1,0.2 mg/kg,553,3.54
11,2,0.2 mg/kg,553,8.81
11,3,0.2 mg/kg,553,13.0
11,4,0.2 mg/kg,553,6.52
11,5,0.2 mg/kg,553,5.39
11,6,0.2 mg/kg,553,26.9
11,7,0.2 mg/kg,553,23.2
11,8,0.2 mg/kg,553,4.62
11,9,0.2 mg/kg,553,11.1
11,10,0.2 mg/kg,553,20.7
11,11,0.2 mg/kg,553,12.5
11,12,0.2 mg/kg,553,13.8
11,13,0.2 mg/kg,553,32.5
11,14,0.2 mg/kg,553,1.0
11,15,0.2 mg/kg,553,3.45
11,16,0.2 mg/kg,553,4.27
11,17,0.2 mg/kg,553,0.192
11,18,0.2 mg/kg,553,0.178
11,19,0.2 mg/kg,553,0.0859
11,20,0.2 mg/kg,553,0.0244
11,21,0.2 mg/kg,553,3.97
11,22,0.2 mg/kg,553,4.85
11,23,0.2 mg/kg,553,1.05
3,0,saline,549,6.33
3,1,saline,549,7.31
3,2,saline,549,14.6
3,3,saline,549,27.5
3,4,saline,549,17.9
3,5,saline,549,11.9
3,6,saline,549,13.6
3,7,saline,549,23.6
3,8,saline,549,24.6
3,9,saline,549,1.48
3,10,saline,549,3.64
3,11,saline,549,6.11
3,12,saline,549,12.1
3,13,saline,549,26.4
3,14,saline,549,21.4
3,15,saline,549,9.76
3,16,saline,549,0.504
3,17,saline,549,0.148
3,18,saline,549,5.94
3,19,saline,549,0.0963
3,20,saline,549,0.942
3,21,saline,549,2.68
3,22,saline,549,2.96
3,23,saline,549,3.65
9,0,0.4 mg/kg,549,6.49
9,1,0.4 mg/kg,549,1.19
9,2,0.4 mg/kg,549,8.59
9,3,0.4 mg/kg,549,1.01
9,4,0.4 mg/kg,549,2.18
9,5,0.4 mg/kg,549,8.69
9,6,0.4 mg/kg,549,30.7
9,7,0.4 mg/kg,549,16.5
9,8,0.4 mg/kg,549,3.64
9,9,0.4 mg/kg,549,0.0474
9,10,0.4 mg/kg,549,4.28
9,11,0.4 mg/kg,549,10.4
9,12,0.4 mg/kg,549,7.02
9,13,0.4 mg/kg,549,20.4
9,14,0.4 mg/kg,549,33.8
9,15,0.4 mg/kg,549,6.32
9,16,0.4 mg/kg,549,0.0986
9,17,0.4 mg/kg,549,0.322
9,18,0.4 mg/kg,549,0.674
9,19,0.4 mg/kg,549,1.45
9,20,0.4 mg/kg,549,0.316
9,21,0.4 mg/kg,549,1.77
9,22,0.4 mg/kg,549,0.0917
9,23,0.4 mg/kg,549,0.408
11,0,0.2 mg/kg,549,11.8
11,1,0.2 mg/kg,549,4.0
11,2,0.2 mg/kg,549,17.5
11,3,0.2 mg/kg,549,10.7
11,4,0.2 mg/kg,549,1.45
11,5,0.2 mg/kg,549,19.8
11,6,0.2 mg/kg,549,24.2
