device_number,mode,behavior,event
1,empty,Exploring,7.666666666666667
1,empty,Seeking,29.666666666666668
1,social,Exploring,14.0
1,social,Seeking,87.0
4,empty,Exploring,7.0
4,empty,Seeking,31.25
4,social,Exploring,3.6666666666666665
4,social,Seeking,80.33333333333333
7,empty,Exploring,6.333333333333333
7,empty,Seeking,18.5
7,social,Exploring,8.666666666666666
7,social,Seeking,67.0
8,empty,Exploring,5.5
8,empty,Seeking,24.0
8,social,Exploring,4.5
8,social,Seeking,106.5
10,empty,Exploring,4.666666666666667
10,empty,Seeking,20.0
10,social,Exploring,3.3333333333333335
10,social,Seeking,79.33333333333333
11,empty,Exploring,4.75
11,empty,Seeking,39.0
11,social,Exploring,2.0
11,social,Seeking,108.66666666666667
12,empty,Exploring,16.666666666666668
12,empty,Seeking,25.25
12,social,Exploring,7.666666666666667
12,social,Seeking,90.66666666666667
14,empty,Exploring,3.0
14,empty,Seeking,19.0
14,social,Exploring,5.666666666666667
14,social,Seeking,74.0
15,empty,Exploring,10.666666666666666
15,empty,Seeking,20.25
15,social,Exploring,1.0
15,social,Seeking,89.33333333333333
16,empty,Exploring,17.0
16,empty,Seeking,48.0
16,social,Exploring,4.666666666666667
16,social,Seeking,96.25
