device_number,sum_events,day,day_label,window,sex
1,22,-1,Day -1,No Partner $\longrightarrow$ Partner 1,m
4,27,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
7,23,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
8,26,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
10,23,-1,Day -1,No Partner $\longrightarrow$ Partner 1,m
11,36,-1,Day -1,No Partner $\longrightarrow$ Partner 1,m
12,30,-1,Day -1,No Partner $\longrightarrow$ Partner 1,m
14,29,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
15,29,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
16,48,-1,Day -1,No Partner $\longrightarrow$ Partner 1,f
1,76,0,Day 0,No Partner $\longrightarrow$ Partner 1,m
4,81,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
7,67,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
8,118,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
10,59,0,Day 0,No Partner $\longrightarrow$ Partner 1,m
11,132,0,Day 0,No Partner $\longrightarrow$ Partner 1,m
12,114,0,Day 0,No Partner $\longrightarrow$ Partner 1,m
14,77,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
15,102,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
16,137,0,Day 0,No Partner $\longrightarrow$ Partner 1,f
1,94,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,m
4,84,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
7,61,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
8,45,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
10,68,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,m
11,72,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,m
12,68,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,m
14,71,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
15,71,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
16,86,2,Day 2,Partner 1 $\longrightarrow$ Partner 2,f
1,98,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,m
4,85,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
7,78,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
8,18,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
10,58,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,m
11,60,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,m
12,61,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,m
14,69,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
15,65,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
16,89,3,Day 3,Partner 1 $\longrightarrow$ Partner 2,f
1,62,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,m
4,65,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
7,58,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
8,106,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
10,76,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,m
11,62,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,m
12,79,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,m
14,72,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
15,85,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
16,88,5,Day 5,Partner 2 $\longrightarrow$ Partner 3,f
1,117,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,m
4,93,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
7,68,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
8,155,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
11,71,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,m
12,70,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,m
14,83,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
15,115,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
16,116,6,Day 6,Partner 2 $\longrightarrow$ Partner 3,f
1,103,8,Day 8,Partner 3 $\longrightarrow$ No Partner,m
4,85,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
7,65,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
8,91,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
10,75,8,Day 8,Partner 3 $\longrightarrow$ No Partner,m
11,60,8,Day 8,Partner 3 $\longrightarrow$ No Partner,m
12,59,8,Day 8,Partner 3 $\longrightarrow$ No Partner,m
14,81,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
15,79,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
16,80,8,Day 8,Partner 3 $\longrightarrow$ No Partner,f
1,95,9,Day 9,Partner 3 $\longrightarrow$ No Partner,m
4,79,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
7,48,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
8,71,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
10,84,9,Day 9,Partner 3 $\longrightarrow$ No Partner,m
11,74,9,Day 9,Partner 3 $\longrightarrow$ No Partner,m
12,48,9,Day 9,Partner 3 $\longrightarrow$ No Partner,m
14,90,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
15,65,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
16,84,9,Day 9,Partner 3 $\longrightarrow$ No Partner,f
