day,zthour,day_label,id,mean
1.0,0,saline,553,9.36
1.0,1,saline,553,1.52
1.0,2,saline,553,11.8
1.0,3,saline,553,21.8
1.0,4,saline,553,23.9
1.0,5,saline,553,2.35
1.0,6,saline,553,27.5
1.0,7,saline,553,34.9
1.0,8,saline,553,5.86
1.0,9,saline,553,12.9
1.0,10,saline,553,20.8
1.0,11,saline,553,33.0
1.0,12,saline,553,15.9
1.0,13,saline,553,38.1
1.0,14,saline,553,17.4
1.0,15,saline,553,0.0687
1.0,16,saline,553,0.459
1.0,17,saline,553,0.213
1.0,18,saline,553,0.446
1.0,19,saline,553,6.08
1.0,20,saline,553,2.57
1.0,21,saline,553,0.0244
1.0,22,saline,553,0.0293
1.0,23,saline,553,2.11
2.0,0,0.2 mg/kg,553,3.42
2.0,1,0.2 mg/kg,553,0.431
2.0,2,0.2 mg/kg,553,10.1
2.0,3,0.2 mg/kg,553,13.7
2.0,4,0.2 mg/kg,553,20.8
2.0,5,0.2 mg/kg,553,3.75
2.0,6,0.2 mg/kg,553,28.4
2.0,7,0.2 mg/kg,553,9.03
2.0,8,0.2 mg/kg,553,24.3
2.0,9,0.2 mg/kg,553,24.5
2.0,10,0.2 mg/kg,553,26.9
2.0,11,0.2 mg/kg,553,30.9
2.0,12,0.2 mg/kg,553,33.1
2.0,13,0.2 mg/kg,553,39.3
2.0,14,0.2 mg/kg,553,19.3
2.0,15,0.2 mg/kg,553,1.28
2.0,16,0.2 mg/kg,553,0.0244
2.0,17,0.2 mg/kg,553,0.254
2.0,18,0.2 mg/kg,553,2.95
2.0,19,0.2 mg/kg,553,2.07
2.0,20,0.2 mg/kg,553,0.0859
2.0,21,0.2 mg/kg,553,0.0244
2.0,22,0.2 mg/kg,553,5.52
2.0,23,0.2 mg/kg,553,0.0244
4.0,0,0.4 mg/kg,553,5.81
4.0,1,0.4 mg/kg,553,0.0685
4.0,2,0.4 mg/kg,553,3.76
4.0,3,0.4 mg/kg,553,6.27
4.0,4,0.4 mg/kg,553,2.12
4.0,5,0.4 mg/kg,553,11.1
4.0,6,0.4 mg/kg,553,10.1
4.0,7,0.4 mg/kg,553,32.6
4.0,8,0.4 mg/kg,553,13.3
4.0,9,0.4 mg/kg,553,15.1
4.0,10,0.4 mg/kg,553,27.0
4.0,11,0.4 mg/kg,553,21.2
4.0,12,0.4 mg/kg,553,21.9
4.0,13,0.4 mg/kg,553,35.5
4.0,14,0.4 mg/kg,553,25.0
4.0,15,0.4 mg/kg,553,1.51
4.0,16,0.4 mg/kg,553,0.202
4.0,17,0.4 mg/kg,553,0.21
4.0,18,0.4 mg/kg,553,1.88
4.0,19,0.4 mg/kg,553,0.0244
4.0,20,0.4 mg/kg,553,10.0
4.0,21,0.4 mg/kg,553,0.0244
4.0,22,0.4 mg/kg,553,0.0244
4.0,23,0.4 mg/kg,553,9.15
1.0,0,saline,549,8.79
1.0,1,saline,549,2.28
1.0,2,saline,549,15.7
1.0,3,saline,549,7.85
1.0,4,saline,549,9.12
1.0,5,saline,549,1.98
1.0,6,saline,549,34.1
1.0,7,saline,549,28.7
1.0,8,saline,549,4.1
1.0,9,saline,549,3.76
1.0,10,saline,549,6.06
1.0,11,saline,549,26.8
1.0,12,saline,549,24.1
1.0,13,saline,549,30.5
1.0,14,saline,549,29.8
1.0,15,saline,549,3.76
1.0,16,saline,549,2.2
1.0,17,saline,549,0.958
1.0,18,saline,549,0.0284
1.0,19,saline,549,4.66
1.0,20,saline,549,0.0287
1.0,21,saline,549,2.0
1.0,22,saline,549,2.59
1.0,23,saline,549,3.55
2.0,0,0.2 mg/kg,549,4.65
2.0,1,0.2 mg/kg,549,4.73
2.0,2,0.2 mg/kg,549,26.5
2.0,3,0.2 mg/kg,549,14.6
2.0,4,0.2 mg/kg,549,23.6
2.0,5,0.2 mg/kg,549,21.7
2.0,6,0.2 mg/kg,549,5.17
2.0,7,0.2 mg/kg,549,30.3
2.0,8,0.2 mg/kg,549,4.09
2.0,9,0.2 mg/kg,549,1.35
2.0,10,0.2 mg/kg,549,1.32
2.0,11,0.2 mg/kg,549,26.2
2.0,12,0.2 mg/kg,549,29.8
2.0,13,0.2 mg/kg,549,41.5
2.0,14,0.2 mg/kg,549,20.0
2.0,15,0.2 mg/kg,549,0.82
2.0,16,0.2 mg/kg,549,0.213
2.0,17,0.2 mg/kg,549,0.428
2.0,18,0.2 mg/kg,549,4.67
2.0,19,0.2 mg/kg,549,0.531
2.0,20,0.2 mg/kg,549,3.0
2.0,21,0.2 mg/kg,549,0.231
2.0,22,0.2 mg/kg,549,2.95
